keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>scan_qr_code_text_one,Scan QR Code in store to enjoy your offer!,Imbas Kod QR di kedai untuk menikmati tawaran anda!,สแกนรหัส QR ในร้านเพื่อรับข้อเสนอของคุณ!,Quét mã QR trong cửa hàng để tận hưởng ưu đãi của bạn!,在商店中扫描 QR 码，享受您的优惠！,在商店中扫描 QR 码，享受您的优惠！
string-->>scan_qr_code,Scan QR Code,Imbas Kod QR,สแกนรหัส QR,Quét mã QR,扫描 QR 码,扫描 QR 码
string-->>scan_qr_code_text_two,Look for the QR code with a red logo in the middle to scan,Cari kod QR dengan logo merah di tengah untuk mengimbas,มองหารหัส QR ที่มีโลโก้สีแดงอยู่ตรงกลางเพื่อสแกน,Tìm mã QR có logo màu đỏ ở giữa để quét,查找中间带有红色徽标的 QR 码进行扫描,查找中间带有红色徽标的 QR 码进行扫描
string-->>available_points_for_redemption,Available Points for Redemption,Terdapat Mata untuk Penebusan,คะแนนที่มีอยู่สำหรับการแลกรางวัล,Điểm Khả dụng để Đổi,可用兑换积分,可用兑换积分
string-->>total_points_redeemed,Total Points Redeemed,Jumlah Mata yang Ditebus,คะแนนรวมที่แลกแล้ว,Tổng số Điểm đã quy đổi,已兑换积分总额,已兑换积分总额
string-->>more_details,More Details,Maklumat lanjut,รายละเอียดเพิ่มเติม,Thêm Chi tiết,更多详情,更多详情
string-->>my_points,My Points,Mata Ganjaran Saya,คะแนนของฉัน,Điểm của tôi,我的积分,我的积分
string-->>used_points,Used Points,Mata yang Digunakan,,Điểm đã sử dụng,已用点,已用点
string-->>points_available_to_redeem,Points Available to Redeem,Mata Tersedia untuk Menebus,,Điểm Khả dụng để Đổi,可兑换积分,可兑换积分
string-->>learn_more,Learn More,Lihat Lagi,ดูเพิ่มเติม,Tìm hiểu Thêm,了解更多信息,了解更多信息
string-->>points_available_for_redemption,Points Available for Redemption,Mata Tersedia untuk Penebusan,คะแนนที่สามารถใช้แลกของรางวัลได้,Điểm sẵn có để đổi quà,可供兑换的积分,可供兑换的积分
string-->>steps_summary_small,Steps Summary,Ringkasan Langkah,สรุปขั้นตอน,Tổng kết bước chân,步骤摘要,步骤摘要
string-->>close,CLOSE,TUTUP,ปิด,ĐÓNG,关闭,关闭
string-->>monthly,MONTHLY,BULANAN,รายเดือน,HÀNG THÁNG,每月,每月
string-->>see_points_history,See Points History >,Rujuk Mata lama >,ดูประวัติคะแนน >,Xem lịch sử điểm >,查看积分历史,查看积分历史
string-->>greetings_small,Greetings,Salam,ทักทาย,Lời chào,祝福,祝福
string-->>popular_merchants,Popular Merchants,Peniaga Popular,,Người bán phổ biến,热门商家,热门商家
string-->>view_event,View Event,Lihat Acara,ดูอีเว้นท์,Xem Sự kiện,查看活动,查看活动
string-->>view_reward,View Reward,Lihat Ganjaran,ดูของรางวัล,Xem Thưởng,查看奖励,查看奖励
string-->>view_message,View Message,Lihat Mesej,,Xem Tin nhắn,查看消息,查看消息
string-->>organisation_has,Organization has,Pertubuhan telah,องค์กรมี,Tổ chức có,组织有,组织有
string-->>selected,Selected,Dipilih,เลือก,Đã chọn,选择,选择
string-->>rsvp,RSVP,RSVP,จอง,Vui lòng phúc đáp,Rsvp,Rsvp
string-->>event_venue,Event Venue,Tempat Acara,สถานที่จัดงาน,Địa điểm tổ chức Sự kiện,活动场地,活动场地
string-->>event_contact_person,Contact Person for the Event,Hubungi Orang Untuk Acara Tersebut,ผู้ติดต่อสำหรับงานอีเว้นท์,Người liên hệ cho Sự kiện,活动联系人,活动联系人
string-->>location,Location,Lokasi,ตำแหน่ง,Vị trí,位置,位置
string-->>see_all,See All,Lihat Semua,ดูทั้งหมด,Xem tất cả,查看全部,查看全部
string-->>my_strengths,My Strengths,Kekuatan Saya,จุดเด่นของฉัน,Ưu điểm của tôi,我的表扬,我的表扬
string-->>click_on_each_to_view_more,Click on each to view more,Klik pada setiap kekuatan untuk melihat lebih,กดเพื่อดูข้อมูล,Bấm vào từng hạng mục để xem thêm,单击每个以查看更多,单击每个以查看更多
string-->>but_people_call_me_as,but people call me as,but people call me as,แต่ผู้คนเรียกฉันว่า,nhưng mọi người gọi tôi là,但人们称我为,但人们称我为
string-->>i_am,I\'m,Saya,ฉัน,Tôi là,我,我
string-->>first_and_last_name,First & Last name,Nama Pertama & Akhir,ชื่อจริงและนามสกุล,First & Last name,名和姓,名和姓
string-->>pls_enter_address_line_1,Please enter address line one,Sila masukkan alamat baris satu,กรุณาระบุที่อยู่บรรทัด 1,Vui lòng nhập dòng địa chỉ 1,请输入地址行 1,请输入地址行 1
string-->>pls_enter_address_line_2,Please enter address line 2,Sila masukkan alamat baris kedua,กรุณาระบุที่อยู่บรรทัด 2,Vui lòng nhập dòng địa chỉ 2,请输入地址行 2,请输入地址行 2
string-->>support,SUPPORT,SOKONGAN,ช่วยเหลือ,HỖ TRỢ,支持,支持
string-->>get_my_treats,GET MY TREATS,DAPATKAN GANJARAN SAYA,,NHẬN SỰ THẾT ĐÃI CỦA TÔI,获取我的款待,获取我的款待
string-->>total_points_received,Total Points Received,Jumlah Mata yang Diterima,คะแนนรวมที่ได้รับ,Tổng số Điểm đã nhận được,收到的总积分,收到的总积分
string-->>high_5,Give High 5,Beri High 5,,Cho High 5,给高 5,给高 5
string-->>with,with,dengan,กับ,với,与,与
string-->>thanks_for_high5,Thanks for giving a High 5.,Terima Kasih untuk High 5.,,Cảm ơn vì đã cho High 5.,谢谢你给高5。,谢谢你给高5。
string-->>you_are_giving_high_5,You are giving a High 5,Anda memberi High 5,,Bạn đang cho High 5,你给一个高5,你给一个高5
string-->>min_appreciation_character,Minimum %1$d characters required,Minimum %1$d aksara yang diperlukan,,Yêu cầu tối thiểu %1$d ký tự,至少需要 %1$d 个字符,至少需要 %1$d 个字符
string-->>high_5_awards,High 5 Awards,Anugera High 5,,Thưởng High 5,最高 5 个奖项,最高 5 个奖项
string-->>joined,Joined,Masuk,,Đã tham gia,加入,加入
string-->>your_treats_error_message,Direct access of the application is restricted; Kindly go to the Your Choice app and click on the Your Treat option.,Akses langsung dari aplikasi itu dibatasi; Sila pergi ke aplikasi Pilihan Anda dan klik pada pilihan Rawat Anda.,,Quyền truy cập trực tiếp của ứng dụng bị hạn chế; Vui lòng truy cập ứng dụng Your Choice và nhấp vào tùy chọn Your Treat.,"应用程序的直接访问受到限制;请转到""选择""应用，然后单击""您的治疗""选项。","应用程序的直接访问受到限制;请转到""选择""应用，然后单击""您的治疗""选项。"
string-->>remaining_points_budget,Remaining points budget,Belanjawan mata yang tinggal,,Ngân sách điểm còn lại,剩余积分预算,剩余积分预算
string-->>title_new_app_version,New version available,Versi baru boleh didapati,มีเวอร์ชั่นใหม่ให้ใช้งาน,Phiên bản mới khả dụng,提供新版本,提供新版本
string-->>message_app_update,A new version is available. Please update to the latest version.,mesej_app_kemas kini,มีเวอร์ชั่นใหม่ให้ใช้งาน กรุณาอัพเดทเป็นเวอร์ชั่นล่าสุด,Một phiên bản mới khả dụng. Vui lòng cập nhật đến phiên bản mới nhất.,新版本可用。请更新到最新版本。,新版本可用。请更新到最新版本。
string-->>button_update,Update,Kemas kini,อัพเดท,Cập nhật,更新,更新
string-->>title_activity_event_photos,EventPhotosActivity,AcaraFotosAktiviti,,EventPhotosActivity,活动照片活动,活动照片活动
string-->>tab_text_1,Tab 1,Tab 1,,Thẻ 1,选项卡 1,选项卡 1
string-->>tab_text_2,Tab 2,Tab 2,,Thẻ 2,选项卡 2,选项卡 2
string-->>event_points,Event Points,Mata Acara,คะแนนงานอีเว้นท์,Điểm Sự kiện,活动点,活动点
string-->>security,Security,Keselamatan,ระบบความปลอดภัย,Bảo mật,安全,安全
string-->>preferences,Preferences,Keutamaan,การตั้งค่า,Cài đặt,偏好,偏好
string-->>app_support,App Support,Sokongan App,ช่วยเหลือด้านแอพฯ,Hỗ trợ ứng dụng,应用支持,应用支持
string-->>how_to_earn_points,How to earn points?,Bagaimana untuk mendapatkan mata?,,Làm thế nào để giành được điểm?,如何赚取积分？,如何赚取积分？
string-->>faq,Frequently Asked Questions (FAQ),Soalan Lazim,คำถามที่พบบ่อย,Câu hỏi thường gặp (FAQ),常见问题 （FAQ）,常见问题 （FAQ）
string-->>live_chat,Live chat,Sembang langsung,แชท,Trò chuyện trực tuyến,实时聊天,实时聊天
string-->>mon_to_fri,"Mon to Fri, 10am - 6pm","Isnin – Jumaat , 10am – 6pm","จันทร์ ถึง ศุกร์, 10.00 - 18.00 น.","Thứ Hai đến Thứ Sáu, 10:00 - 18:00",周一至周五，上午 10 点至下午 6 点,周一至周五，上午 10 点至下午 6 点
string-->>email_us,Email us,Emel kami,อีเมลมาที่เรา,Gửi email cho chúng tôi,给我们发电子邮件,给我们发电子邮件
string-->>send_logs,Send logs,Hantar log,ส่ง Logs,Gửi những bản ghi,发送日志,发送日志
string-->>save_pwd,Save Password,Simpan katalaluan,บันทึกรหัสผ่าน,Lưu Mật khẩu,保存密码,保存密码
string-->>refreshed_on,Refreshed on,Semula pada,,Đã làm mới,刷新,刷新
string-->>redeemed_on,Redeemed on,Ditebus pada,,Đã đổi trên,兑换上,兑换上
string-->>steps,Steps,Langkah,,Các bước chân,步骤,步骤
string-->>workplace_small,Workplace,Tempat Kerja,,Công sở,车间,车间
string-->>upload_receipts_small,Upload Receipts,Muatkan Resit,อัพโหลดใบเสร็จ,Tải lên Biên nhận,上传收据,上传收据
string-->>tab_upload_receipts,Receipts,Resit,ยอดขาย,Biên nhận,收据,收据
string-->>calendar_small,Calendar,Kalendar,ปฏิทิน,Lịch biểu,日历,日历
string-->>leaderboard_small,Leaderboard,Papan Pendahulu,กระดานอันดับ,Bảng Thành Tích,排行榜,排行榜
string-->>rewards_small,Rewards,Ganjaran,ของรางวัล,Đổi thưởng,奖励,奖励
string-->>facility_check_in_small,Facility Check In,Kemudahan Check In,สิ่งอำนวยความสะดวก,Đăng ký cơ sở,设施,设施
string-->>referral_smalll,Referral,Rujukan,Referral,Giới thiệu,转 介,转 介
string-->>history_small,History,Rekod,ประวัติ,Lịch sử,历史,历史
string-->>notifications_small,Notifications,Notifikasi,การแจ้งเตือน,Thông báo,通知,通知
string-->>settings_small,Settings,Tetapan,การตั้งค่า,Cài đặt,设置,设置
string-->>connect_apps,Connect Apps,Sambungkan Aplikasi,เชื่อมต่อแอพฯ,Kết nối Ứng dụng,连接应用,连接应用
string-->>appreciation_small,Appreciation,Penghargaan,แสดงความขอบคุณ,Ghi nhận,欣赏,欣赏
