keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>output,Output,انتاج |,Pengeluaran,Вывод,,Đầu ra,输出,输出
string-->>icar,ICAR,ICAR,ICAR,ICAR,,ICAR,ICAR,ICAR
string-->>dept_performance,Departmental Performance,أداء الإدارات,Prestasi Jabatan,Достижения департамента,,Hiệu suất của Bộ phận,部门绩效,部门绩效
string-->>quarter,Quarter,ربع,Suku,Квартал,,Quý,季度,季度
string-->>label_quarter,Q,Q,Q,Q,,Q,问,问
string-->>label_qtd,QTD,QTD,QTD,QTD,,QTD,数量,数量
string-->>label_month,M,M,M,M,,M,M,M
string-->>hint_brand_model,Enter 2 letters & 4 digits (e.g. AB1234),أدخل 2 حرفا و 4 أرقام (E.G. AB1234),,,ป้อน 2 ตัวอักษร และ 4 หลัก (เช่น AB1234),,输入2个字母和4个数字例如AB1234,输入2个字母和4个数字例如AB1234>
string-->>hint_amount,$XXX,$XXX,$XXX,$XXX,$XXX,$XXX,$XXX,$XXX
string-->>enter_brand_model,Enter brand model,أدخل نموذج العلامة التجارية,Masukan modal jenama,Введите бренд / модель,ป้อนยี่ห้อรุ่น,Nhập mô hình thương hiệu,输入品牌模型,输入品牌模型
string-->>membership_privileges,Membership Privileges,امتيازات العضوية,Keistimewaan keahlian,Привилегии членства,สิทธิพิเศษสำหรับสมาชิก,Đặc quyền thành viên,成员资格特权,成员资格特权
string-->>since,since,حيث,sejak,с,ตั้งแต่,từ,因为,因为
string-->>character_limit_error_message,Please enter minimum %1$d characters,الرجاء إدخال %1$d أحرف على الأقل,Sila masukkan minimum %1$d aksara,"Пожалуйста, введите минимум %1$d символов",ระบุขั้นต่ำ %1$d ตัว,Vui lòng nhập tối thiểu %1$d ký tự,请输入至少 %1$d 个字符,请输入至少 %1$d 个字符
string-->>entered,entered,دخل,memasuki,введено,,đã nhập,进入,进入
string-->>confirm_edit_mobile_number,Confirm your mobile number,تأكيد رقم هاتفك المحمول,Pastikan nombor mudah alih anda,Подтвердите свой номер мобильного телефона,ยืนยันหมายเลขโทรศัพท์มือถือของคุณ,Xác nhận số điện thoại di động của bạn,确认您的手机号码,确认您的手机号码
string-->>recognition_heroes,Recognition Heroes,الأبطال الاعتراف,Pengiktirafan Wira,Стена почета,ฮีโร่ที่ได้รับการยอมรับ,Vinh danh,荣誉名单,荣誉名单
string-->>feeds,Feed,تغذية,Paparan Siaran,Фид,ให้,Bảng tin,动态信息,动态信息
string-->>users,users,المستخدمين,Penguna,пользователи,,người dùng,用户,用户
string-->>clear,Clear,واضح,Jelas,Очистить,ล้าง,Xóa,清除,清除
string-->>appreciated_by,appreciated by,تقدير من قبل,dihargai oleh,благодарность начислена от,การขอบคุณ,được đánh giá cao bởi,赞赏,赞赏
string-->>updated_week,Weekly data as updated on,البيانات الأسبوعية كما تحديثها على,Data mingguan seperti yang dikemas kini pada,Еженедельные данные обновлены,,Dữ liệu hàng tuần được cập nhật vào,更新的每周数据,更新的每周数据
string-->>scan_qr_code_text_one,Scan QR Code in store to enjoy your offer!,مسح رمز الاستجابة السريعة في المتجر للاستمتاع بعرضك!,Imbas Kod QR di kedai untuk menikmati tawaran anda!,"Отсканируйте QR-код в магазине, чтобы воспользоваться своим предложением!",สแกนรหัส QR ในร้านเพื่อรับข้อเสนอของคุณ!,Quét mã QR trong cửa hàng để tận hưởng ưu đãi của bạn!,在商店中扫描 QR 码，享受您的优惠！,在商店中扫描 QR 码，享受您的优惠！
string-->>scan_qr_code,Scan QR Code,مسح رمز الاستجابة السريعة,Imbas Kod QR,Сканировать QR-код,สแกนรหัส QR,Quét mã QR,扫描 QR 码,扫描 QR 码
string-->>scan_qr_code_text_two,Look for the QR code with a red logo in the middle to scan,ابحث عن رمز الاستجابة السريعة مع شعار أحمر في منتصف المسح الضوئي,Cari kod QR dengan logo merah di tengah untuk mengimbas,Найдите QR-код с красным логотипом посередине для сканирования.,มองหารหัส QR ที่มีโลโก้สีแดงอยู่ตรงกลางเพื่อสแกน,Tìm mã QR có logo màu đỏ ở giữa để quét,查找中间带有红色徽标的 QR 码进行扫描,查找中间带有红色徽标的 QR 码进行扫描
string-->>available_points_for_redemption,Available Points for Redemption,النقاط المتاحة للاسترداد,Terdapat Mata untuk Penebusan,Доступные баллы для обмена,คะแนนที่มีอยู่สำหรับการแลกรางวัล,Điểm Khả dụng để Đổi,可用兑换积分,可用兑换积分
string-->>total_points_redeemed,Total Points Redeemed,إجمالي النقاط المستردة,Jumlah Mata yang Ditebus,Всего баллов потрачено,คะแนนรวมที่แลกแล้ว,Tổng số Điểm đã quy đổi,已兑换积分总额,已兑换积分总额
string-->>more_details,More Details,المزيد من التفاصيل,Maklumat lanjut,Больше подробностей,รายละเอียดเพิ่มเติม,Thêm Chi tiết,更多详情,更多详情
string-->>my_points,My Points,نقاطي,Mata Ganjaran Saya,Мои баллы,คะแนนของฉัน,Điểm của tôi,我的积分,我的积分
string-->>used_points,Used Points,النقاط المستخدمة,Mata yang Digunakan,Использованные баллы,,Điểm đã sử dụng,已用点,已用点
string-->>points_available_to_redeem,Points Available to Redeem,نقاط متاحة لاسترداد,Mata Tersedia untuk Menebus,"Баллы, доступные для обмена",,Điểm Khả dụng để Đổi,可兑换积分,可兑换积分
string-->>learn_more,Learn More,يتعلم أكثر,Lihat Lagi,Подробнее,ดูเพิ่มเติม,Tìm hiểu Thêm,了解更多信息,了解更多信息
string-->>points_available_for_redemption,Points Available for Redemption,النقاط المتاحة للاسترداد,Mata Tersedia untuk Penebusan,"Баллы, доступные для обмена",คะแนนที่สามารถใช้แลกของรางวัลได้,Điểm sẵn có để đổi quà,可供兑换的积分,可供兑换的积分
string-->>steps_summary_small,Steps Summary,خطوات ملخص,Ringkasan Langkah,СТАТИСТИКА ШАГОВ,สรุปขั้นตอน,Tổng kết bước chân,步骤摘要,步骤摘要
string-->>close,CLOSE,أغلق,TUTUP,ЗАКРЫТЬ,ปิด,ĐÓNG,关闭,关闭
string-->>monthly,MONTHLY,شهريا,BULANAN,ЕЖЕМЕСЯЧНО,รายเดือน,HÀNG THÁNG,每月,每月
string-->>see_points_history,See Points History >,انظر التاريخ التاريخ>,Rujuk Mata lama >,Посмотреть историю баллов>,ดูประวัติคะแนน >,Xem lịch sử điểm >,查看积分历史,查看积分历史
string-->>greetings_small,Greetings,تحيات,Salam,Поздравления,ทักทาย,Lời chào,祝福,祝福
string-->>popular_merchants,Popular Merchants,التجار الشعبية,Peniaga Popular,Популярные продавцы,,Người bán phổ biến,热门商家,热门商家
string-->>view_event,View Event,عرض المناسبة,Lihat Acara,Просмотреть событие,ดูอีเว้นท์,Xem Sự kiện,查看活动,查看活动
string-->>view_reward,View Reward,عرض المكافآت,Lihat Ganjaran,Просмотреть вознаграждение,ดูของรางวัล,Xem Thưởng,查看奖励,查看奖励
string-->>view_message,View Message,شاهد الرساله,Lihat Mesej,Просмотреть сообщение,,Xem Tin nhắn,查看消息,查看消息
string-->>organisation_has,Organization has,المنظمة لديها,Pertubuhan telah,Организация имеет,องค์กรมี,Tổ chức có,组织有,组织有
string-->>selected,Selected,المحدد,Dipilih,Выбрано,เลือก,Đã chọn,选择,选择
